date,land_surface,ndvi,precipitation,water_vapor
2023-01-01,26.0531495,0.7121999999999999,1.094,1.8845
2023-01-09,25.805118400000005,0.7121999999999999,1.094,1.66
2023-01-17,26.05314925,0.66235,1.094,1.6695
2023-01-25,25.91535435,0.66235,1.094,2.635
2023-02-02,26.6870077,0.6750499999999999,2.6,1.969
2023-02-10,26.8523625,0.6750499999999999,2.6,1.9395
2023-02-18,29.8011812,0.5836,2.6,1.7935
2023-02-26,32.08858295,0.5836,2.6,2.0125
2023-03-06,33.10826805,0.5361,51.026500000000006,2.5025
2023-03-14,31.7440945,0.5361,51.026500000000006,2.5995
2023-03-22,35.2854329,0.52145,51.026500000000006,2.676
2023-03-30,32.2401578,0.52145,51.026500000000006,5002.188
2023-04-07,28.7677163,0.5952500000000001,104.66299999999998,15002.309
2023-04-15,31.937008050000003,0.5952500000000001,104.66299999999998,2.807
2023-04-23,31.39960645,0.6687000000000001,104.66299999999998,2.5745
2023-05-01,31.688976500000003,0.6687000000000001,219.336,2.766
2023-05-09,31.39960625,0.7034,219.336,2.982
2023-05-17,31.1653544,0.7034,219.336,3.8925
2023-05-25,31.74409455,0.7635,219.336,3.3905000000000003
2023-06-02,29.8700787,0.7635,16.9225,3.398
2023-06-10,34.265748450000004,0.68735,16.9225,1.8575
2023-06-18,34.9133863,0.68735,16.9225,3.4085
2023-06-26,36.38779505,0.6364500000000001,16.9225,3.7905
2023-07-04,36.30511885,0.6364500000000001,72.4115,3.7495
2023-07-12,33.604330700000006,0.6179,72.4115,20003.0645
2023-07-20,37.448818450000005,0.6179,72.4115,35003.3845
2023-07-28,37.86220475,0.5601999999999999,72.4115,10004.2245
2023-08-05,36.4566928,0.5601999999999999,71.39599999999999,4.532500000000001
2023-08-13,37.64173265,0.52665,71.39599999999999,40002.75550000001
2023-08-21,35.836613650000004,0.52665,71.39599999999999,5.5985
2023-08-29,36.7874015,0.61375,71.39599999999999,4.7845
2023-09-06,37.5866142,0.61375,21.638,4.008
2023-09-14,36.7874016,0.5544,21.638,4.226000000000001
2023-09-22,37.5039368,0.5544,21.638,3.8755
2023-09-30,36.71850435,0.56405,21.638,
2023-10-08,37.57283485000001,0.56405,80.29,4.221
2023-10-16,32.36417355,0.6299,80.29,2.975
2023-10-24,25.2263779,0.6299,80.29,74999.986
2023-11-01,29.7047243,0.6958,66.6515,3.2410000000000005
2023-11-09,28.36811045,0.6958,66.6515,3.266
2023-11-17,27.14173255,0.7476499999999999,66.6515,2.3235
2023-11-25,27.183071,0.7476499999999999,66.6515,2.8785000000000003
2023-12-03,24.055118,0.7911499999999999,179.5415,2.6875
2023-12-11,22.925197,0.7911499999999999,179.5415,1.735
2023-12-19,22.580708550000004,0.7547499999999999,179.5415,2.696
2023-12-27,5015.995275474999,0.7547499999999999,179.5415,89999.2845
